ledger_id,order_id,expected_amount,invoice_date,customer
LED0001,ORD0001,16165.96,2026-08-01,Suresh V
LED0002,ORD0002,16422.17,2026-08-18,Karan D
LED0003,ORD0003,21263.61,2026-08-20,Neha G
LED0004,ORD0004,6083.51,2026-08-10,Neha G
LED0005,ORD0005,4692.9,2026-08-08,Vikram T
LED0006,ORD0006,22871.84,2026-08-19,Divya N
LED0007,ORD0007,9368.91,2026-08-05,Aisha K
LED0008,ORD0008,17166.94,2026-08-04,Rohit S
LED0009,ORD0009,21827.7,2026-08-10,Sana R
LED0010,ORD0010,6366.58,2026-08-08,Divya N
LED0011,ORD0011,24126.89,2026-08-18,Arjun B
LED0012,ORD0012,5895.33,2026-08-03,Vikram T
LED0013,ORD0013,19723.18,2026-08-14,Vikram T
LED0014,ORD0014,5193.96,2026-08-18,Vikram T
LED0015,ORD0015,4574.62,2026-08-16,Neha G
LED0016,ORD0016,18101.0,2026-08-05,Meera P
LED0017,ORD0017,2178.77,2026-08-03,Suresh V
LED0018,ORD0018,8197.5,2026-08-09,Karan D
LED0019,ORD0019,22081.17,2026-08-08,Meera P
LED0020,ORD0020,6979.42,2026-08-04,Sana R
LED0021,ORD0021,1580.13,2026-08-11,Arjun B
LED0022,ORD0022,14036.86,2026-08-14,Arjun B
LED0023,ORD0023,18862.2,2026-08-08,Suresh V
LED0024,ORD0024,3148.34,2026-08-02,Sana R
LED0025,ORD0025,9103.08,2026-08-17,Karan D
LED0026,ORD0026,11191.65,2026-08-17,Neha G
LED0027,ORD0027,23058.89,2026-08-20,Meera P
LED0028,ORD0028,15580.12,2026-08-10,Suresh V
LED0029,ORD0029,4657.44,2026-08-03,Rohit S
LED0030,ORD0030,11657.7,2026-08-21,Suresh V
LED0031,ORD0031,13189.96,2026-08-02,Divya N
LED0032,ORD0032,20848.94,2026-08-18,Vikram T
LED0033,ORD0033,7157.02,2026-08-11,Arjun B
LED0034,ORD0034,23678.52,2026-08-01,Vikram T
LED0035,ORD0035,12461.62,2026-08-09,Aisha K
LED0036,ORD0036,2556.71,2026-08-14,Aisha K
LED0037,ORD0037,18851.09,2026-08-02,Arjun B
LED0038,ORD0038,23720.05,2026-08-15,Divya N
LED0039,ORD0039,10218.03,2026-08-07,Rohit S
LED0040,ORD0040,12896.04,2026-08-11,Priya M
LED0041,ORD0041,19478.72,2026-08-15,Karan D
LED0042,ORD0042,4955.08,2026-08-07,Neha G
LED0043,ORD0043,17940.14,2026-08-15,Sana R
LED0044,ORD0044,6148.18,2026-08-07,Sana R
LED0045,ORD0045,6073.34,2026-08-06,Farhan A
LED0046,ORD0046,11291.49,2026-08-06,Vikram T
LED0047,ORD0047,3402.06,2026-08-14,Vikram T
LED0048,ORD0048,15825.12,2026-08-09,Neha G
LED0049,ORD0049,6218.88,2026-08-11,Arjun B
